id,name,team_id,position,games_played,field_goals_made,field_goals_attempted,field_goals_percentage,rebounds,assists,steals,blocks,points,turnovers,efficiency
226,Kevin Huerter,multi_team,SG,69.0,3.7,8.8,0.425,3.0,2.3,1.0,0.3,9.9,1.0,11.3
227,Kevin Huerter,SAC,SG,43.0,3.0,7.2,0.413,2.8,1.7,0.8,0.4,7.9,0.9,11.3
228,Kevin Huerter,CHI,SG,26.0,5.0,11.3,0.439,3.3,3.2,1.2,0.3,13.2,1.2,11.3
229,Georges Niang,multi_team,PF,79.0,3.6,7.8,0.461,3.4,1.4,0.4,0.2,9.9,1.0,11.2
230,Georges Niang,CLE,PF,51.0,3.3,6.8,0.477,3.7,1.3,0.3,0.1,8.7,0.9,11.2
231,Georges Niang,ATL,PF,28.0,4.3,9.7,0.441,3.0,1.6,0.4,0.3,12.1,1.2,11.2
232,Julian Champagnie,SAS,SF,82.0,3.4,8.1,0.415,3.9,1.4,0.7,0.4,9.9,0.9,12.2
233,Scotty Pippen Jr.,MEM,PG,79.0,3.6,7.5,0.48,3.3,4.4,1.3,0.4,9.9,1.7,15.8
234,Nick Smith Jr.,CHO,SG,60.0,3.7,9.5,0.391,2.1,2.4,0.3,0.1,9.9,1.4,8.3
235,Bub Carrington,WAS,PG,82.0,3.7,9.1,0.401,4.2,4.4,0.7,0.3,9.8,1.7,9.0
236,Moses Moody,GSW,SG,74.0,3.3,7.7,0.433,2.6,1.3,0.8,0.4,9.8,0.7,12.4
237,Amir Coffey,LAC,SG,72.0,3.3,7.1,0.471,2.2,1.1,0.6,0.1,9.7,0.6,11.2
238,Max Christie,multi_team,SG,78.0,3.2,7.6,0.427,3.3,1.9,0.8,0.4,9.6,1.1,10.4
239,Max Christie,LAL,SG,46.0,2.8,6.3,0.444,2.7,1.4,0.8,0.5,8.5,0.8,10.4
240,Max Christie,DAL,SG,32.0,3.9,9.4,0.411,4.2,2.5,0.9,0.3,11.2,1.5,10.4
241,Kyle Filipowski,UTA,C,72.0,3.6,7.2,0.502,6.1,1.9,0.7,0.3,9.6,1.4,14.9
242,Tosan Evbuomwan,BRK,SF,28.0,3.4,7.9,0.427,4.3,2.0,0.9,0.4,9.5,1.4,11.6
243,Miles McBride,NYK,PG,64.0,3.5,8.5,0.406,2.5,2.9,1.0,0.3,9.5,0.6,12.6
244,Jalen Wilson,BRK,PF,79.0,3.1,7.8,0.397,3.4,1.8,0.5,0.1,9.5,1.0,9.5
245,Nickeil Alexander-Walker,MIN,SG,82.0,3.3,7.5,0.438,3.2,2.7,0.6,0.4,9.4,1.2,11.6
246,Cole Anthony,ORL,PG,67.0,3.4,8.1,0.424,3.0,2.9,0.7,0.5,9.4,1.5,14.2
247,Anthony Black,ORL,PG,78.0,3.4,7.9,0.423,2.9,3.1,1.1,0.6,9.4,1.8,11.6
248,Max Strus,CLE,SF,50.0,3.3,7.5,0.442,4.3,3.2,0.5,0.2,9.4,1.1,12.6
249,Tristan Vukcevic,WAS,C,35.0,3.4,6.9,0.496,3.7,1.1,0.3,0.7,9.4,1.2,17.8
250,Cam Whmulti_teamore,HOU,SF,51.0,3.5,7.9,0.444,3.0,1.0,0.6,0.3,9.4,0.9,15.5
251,Nick Richards,multi_team,C,57.0,3.6,6.1,0.591,8.2,0.9,0.2,1.0,9.3,1.4,16.6
252,Nick Richards,CHO,C,21.0,3.0,5.4,0.561,7.5,1.3,0.3,1.2,8.9,1.6,16.6
253,Nick Richards,PHO,C,36.0,3.9,6.5,0.605,8.6,0.6,0.2,0.8,9.5,1.3,16.6
254,Kel'el Ware,MIA,C,64.0,4.0,7.3,0.554,7.4,0.9,0.6,1.1,9.3,0.9,17.4
255,Zach Edey,MEM,C,66.0,3.8,6.6,0.58,8.3,1.0,0.5,1.3,9.2,1.3,18.2
256,Wendell Carter Jr.,ORL,C,68.0,3.3,7.2,0.46,7.2,2.0,0.8,0.6,9.1,1.1,13.7
257,Noah Clowney,BRK,PF,46.0,2.9,8.1,0.358,3.9,0.9,0.5,0.5,9.1,1.0,9.2
258,Dalton Knecht,LAL,SF,78.0,3.3,7.1,0.461,2.8,0.8,0.3,0.1,9.1,0.5,12.7
259,A.J. Lawson,TOR,SG,26.0,3.1,7.3,0.421,3.3,1.2,0.5,0.2,9.1,0.6,12.7
260,T.J. McConnell,IND,PG,79.0,4.1,7.9,0.519,2.4,4.4,1.1,0.3,9.1,1.4,18.4
261,Yves Missi,NOP,C,73.0,3.7,6.7,0.547,8.2,1.4,0.5,1.3,9.1,1.1,15.4
262,Royce O'Neale,PHO,SF,75.0,3.2,7.6,0.423,4.7,2.2,0.9,0.5,9.1,0.9,12.6
263,Jared Butler,multi_team,SG,60.0,3.4,7.6,0.448,1.8,3.7,0.7,0.2,9.0,1.3,15.6
264,Jared Butler,WAS,PG,32.0,2.7,5.5,0.483,1.3,2.6,0.4,0.2,6.9,0.9,15.6
265,Jared Butler,PHI,SG,28.0,4.2,9.9,0.426,2.5,4.9,1.1,0.3,11.5,1.8,15.6
266,Marcus Smart,multi_team,PG,34.0,3.0,7.6,0.393,2.1,3.2,1.1,0.3,9.0,1.6,12.4
267,Marcus Smart,MEM,PG,19.0,2.8,7.8,0.358,2.3,3.7,1.2,0.3,8.7,1.8,12.4
268,Marcus Smart,WAS,PG,15.0,3.2,7.3,0.44,1.9,2.5,1.1,0.2,9.3,1.3,12.4
269,Draymond Green,GSW,PF,68.0,3.2,7.5,0.424,6.1,5.6,1.5,1.0,9.0,2.6,12.4
270,Killian Hayes,BRK,PG,6.0,3.0,7.2,0.419,3.0,5.2,0.7,0.7,9.0,1.5,12.7
271,Al Horford,BOS,C,60.0,3.3,7.7,0.423,6.2,2.1,0.6,0.9,9.0,0.8,12.9
272,Julian Strawther,DEN,SG,65.0,3.2,7.5,0.432,2.2,1.3,0.6,0.2,9.0,0.9,9.5
273,Patrick Williams,CHI,PF,63.0,3.3,8.2,0.397,3.8,2.0,0.8,0.5,9.0,1.4,9.0
274,Jusuf Nurkić,multi_team,C,51.0,3.3,6.9,0.477,7.8,2.3,0.8,0.7,8.9,1.9,15.2
275,Jusuf Nurkić,PHO,C,25.0,3.0,6.5,0.454,9.2,1.9,0.9,0.6,8.6,2.3,15.2
276,Jusuf Nurkić,CHO,C,26.0,3.6,7.3,0.497,6.5,2.6,0.7,0.7,9.2,1.5,15.2
277,Clint Capela,ATL,C,55.0,4.0,7.1,0.559,8.5,1.1,0.6,1.0,8.9,0.9,17.7
278,Johnny Juzang,UTA,SG,64.0,3.2,7.4,0.429,2.9,1.1,0.6,0.1,8.9,0.6,11.8
279,Luke Kennard,MEM,SG,65.0,3.2,6.6,0.478,2.8,3.3,0.8,0.1,8.9,1.1,13.6
280,Justin Champagnie,WAS,SF,62.0,3.4,6.6,0.511,5.7,1.0,1.0,0.6,8.8,0.9,15.7
281,Svi Mykhailiuk,UTA,SF,38.0,3.1,7.9,0.391,2.4,2.0,0.5,0.2,8.8,1.4,9.8
282,Chris Paul,SAS,PG,82.0,3.0,7.1,0.427,3.6,7.4,1.3,0.3,8.8,1.6,14.7
283,Kelly Olynyk,multi_team,C,44.0,3.0,6.1,0.5,4.7,2.9,0.8,0.4,8.7,1.7,14.9
284,Kelly Olynyk,TOR,C,24.0,2.5,4.9,0.5,3.7,2.3,0.7,0.3,7.1,1.5,14.9
285,Kelly Olynyk,NOP,C,20.0,3.8,7.5,0.5,5.9,3.6,0.9,0.6,10.7,2.1,14.9
286,Dorian Finney-Smith,multi_team,PF,63.0,3.1,6.9,0.448,3.9,1.4,0.9,0.4,8.7,0.9,10.1
287,Dorian Finney-Smith,BRK,PF,20.0,3.7,8.0,0.459,4.6,1.6,0.9,0.6,10.4,0.9,10.1
288,Dorian Finney-Smith,LAL,PF,43.0,2.8,6.4,0.442,3.6,1.4,0.9,0.3,7.9,0.9,10.1
289,Oshae Brissett,PHI,SF,6.0,3.2,6.5,0.487,3.7,0.7,0.7,0.5,8.7,1.3,9.8
290,Kentavious Caldwell-Pope,ORL,SG,77.0,3.1,7.1,0.439,2.2,1.8,1.3,0.4,8.7,0.8,9.9
291,Isaiah Collier,UTA,PG,71.0,3.3,7.8,0.422,3.3,6.3,0.9,0.2,8.7,2.9,9.7
292,Dante Exum,DAL,PG,20.0,3.2,6.7,0.478,1.7,2.8,0.6,0.2,8.7,1.1,13.6
293,Kyshawn George,WAS,SG,68.0,3.0,8.0,0.372,4.2,2.5,1.0,0.7,8.7,1.4,8.8
294,Jaden Hardy,DAL,SG,57.0,3.2,7.3,0.435,1.6,1.4,0.5,0.1,8.7,1.4,10.4
295,Dereck Lively II,DAL,C,36.0,3.7,5.3,0.702,7.5,2.4,0.6,1.6,8.7,1.1,20.1
296,Tyrese Martin,BRK,SG,60.0,3.2,7.8,0.406,3.7,2.0,0.6,0.2,8.7,1.2,10.9
297,Matas Buzelis,CHI,SF,80.0,3.2,6.9,0.454,3.5,1.0,0.4,0.9,8.6,0.9,12.5
298,Jaime Jaquez Jr.,MIA,SF,66.0,3.2,7.0,0.461,4.4,2.5,0.9,0.2,8.6,1.5,14.3
299,Ja'Kobe Walter,TOR,SG,52.0,3.1,7.6,0.405,3.1,1.6,0.8,0.2,8.6,1.0,10.8
300,Sam Hauser,BOS,PF,71.0,3.0,6.7,0.451,3.2,0.9,0.6,0.2,8.5,0.3,12.8
301,Larry Nance Jr.,ATL,PF,24.0,3.3,6.5,0.516,4.3,1.6,0.8,0.5,8.5,0.7,16.0
302,Jared Rhoden,multi_team,SG,14.0,3.0,6.2,0.483,3.0,1.1,0.7,0.1,8.4,0.6,16.4
303,Jared Rhoden,CHO,SG,4.0,0.5,2.0,0.25,1.0,0.5,0.3,0.0,1.0,0.3,16.4
304,Jared Rhoden,TOR,SG,10.0,4.0,7.9,0.506,3.8,1.4,0.9,0.2,11.4,0.8,16.4
305,Jaylen Nowell,NOP,SG,8.0,3.3,9.1,0.356,2.5,2.3,0.1,0.5,8.4,1.0,7.5
306,Cason Wallace,OKC,SG,68.0,3.4,7.2,0.474,3.4,2.5,1.8,0.5,8.4,0.9,12.3
307,Bruce Brown,multi_team,PG,41.0,3.2,7.5,0.421,4.0,2.0,0.8,0.2,8.3,1.0,10.9
308,Bruce Brown,TOR,PG,18.0,3.2,7.3,0.435,3.8,1.6,0.9,0.2,8.4,1.1,10.9
309,Bruce Brown,NOP,PG,23.0,3.2,7.7,0.41,4.2,2.4,0.7,0.3,8.2,0.9,10.9
310,Dalano Banton,POR,PG,67.0,3.0,7.6,0.391,2.0,2.4,0.6,0.5,8.3,1.3,12.9
311,Brandon Clarke,MEM,PF,64.0,3.7,5.9,0.621,5.1,1.0,0.8,0.6,8.3,0.6,17.6
312,Keon Ellis,SAC,SG,80.0,2.8,5.8,0.489,2.7,1.5,1.5,0.8,8.3,0.9,13.5
313,Brandon Williams,DAL,PG,33.0,3.0,5.7,0.521,1.8,2.3,0.7,0.2,8.3,1.2,18.3
314,Mike Conley,MIN,PG,71.0,2.6,6.6,0.4,2.6,4.5,1.1,0.2,8.2,1.1,13.3
315,Taurean Prince,MIL,SF,80.0,2.9,6.4,0.457,3.6,1.9,1.0,0.2,8.2,1.0,9.8
